Degree;Number Points;Mean(std) Distance; Max Distance
3;6;0.0(0.0);0.0
5;14;0.0(0.0);0.0
7;26;0.14(0.14);0.31
9;38;0.19(0.19);0.31
11;50;0.15(0.15);0.31
13;74;0.11(0.11);0.2
15;86;0.05(0.05);0.12
17;110;0.07(0.07);0.14
19;146;0.05(0.05);0.14
21;170;0.04(0.04);0.09
23;194;0.06(0.06);0.16
25;230;0.06(0.06);0.12
27;266;0.05(0.05);0.13
29;302;0.06(0.06);0.14
31;350;0.04(0.04);0.1
35;434;0.05(0.05);0.09
41;590;0.05(0.05);0.08
47;770;0.04(0.04);0.07
53;974;0.04(0.04);0.06
59;1202;0.03(0.03);0.06
65;1454;0.03(0.03);0.05
71;1730;0.03(0.03);0.05
77;2030;0.03(0.03);0.05
83;2354;0.03(0.03);0.04
89;2702;0.02(0.02);0.04
95;3074;0.02(0.02);0.04
101;3470;0.02(0.02);0.04
107;3890;0.02(0.02);0.03
113;4334;0.02(0.02);0.03
119;4802;0.02(0.02);0.03
125;5294;0.02(0.02);0.03
