Grid,Domain
:func:`Clenshaw Curtis<grid.onedgrid.ClenshawCurtis>`,"[-1, 1]"
Fejer First,"[-1, 1]"
Fejer Second,"[-1, 1]"
Gauss-Chebyshev,"[-1, 1]"
Gauss-Chebyshev-Lobatto,"[-1, 1]"
Gauss-Chebyshev Type2,"[-1, 1]"
Gauss-Laguerre,":math:`[0, \infty)`"
Gauss-Legendre,"[-1, 1]"
Horton Linear,"[0, npoints]"
Midpoint,"[-1, 1]"
Rectangle Rule Sine,"(0, 1)"
Rectangle Rule Sine EndPoints,"[-1, 1]"
Simpson,"[-1, 1]"
Tanh-Sinh,"[-1, 1]"
Trapezoidal,"[-1, 1]"
Trefethen Clenshaw Curtis,"[-1, 1]"
Trefethen Gauss Chebyshev,"[-1, 1]"
Trefethen General,"[-1, 1]"
Trefethen Strip CC,"[-1, 1]"
Trefethen Strip GC2,"[-1, 1]"
Trefethen Strip General,"[-1, 1]"
